Time,rnti,SFN,elapsed,CFI,RBmeanllr,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1698072539026,65535,6625,0.66,2,1.72,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539121,65535,6720,0.43,3,1.94,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072539126,65535,6725,0.39,2,1.46,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072539146,65535,6745,0.63,2,1.46,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539150,65534,6749,0.87,3,1.48,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539166,65535,6765,0.4,2,1.65,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539186,65535,6785,0.44,2,1.75,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539190,65534,6789,0.33,2,1.76,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539226,65535,6825,0.87,3,1.61,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539246,65535,6845,0.95,3,1.55,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539266,65535,6865,0.73,3,1.67,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539270,65534,6869,1.71,3,1.73,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539281,65535,6880,0.77,2,1.84,2.0,0.0,0.0,1,11,-2,376,-2,30,3
1698072539286,65535,6885,1.64,3,1.74,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072539306,65535,6905,1.72,2,2.16,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539346,65535,6945,0.73,3,1.54,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539350,65534,6949,0.96,3,1.52,2.0,0.0,0.0,1,3,-2,104,-2,12,2
1698072539361,65535,6960,0.76,3,1.74,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072539366,65535,6965,1.07,3,1.6,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072539370,65534,6969,0.92,2,1.69,2.0,0.0,0.0,1,5,-2,144,-2,12,2
1698072539386,65535,6985,1.7,3,1.5,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539406,65535,7005,1.62,3,1.57,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539410,65534,7009,1.58,2,1.8,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539426,65535,7025,1.91,3,1.7,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539440,1571,7039,0.91,3,1.1,2.0,52.0,15.0,1,16,-2,5544,-2,18,4
1698072539446,65535,7045,1.01,3,1.98,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072539456,65535,7055,0.89,3,2.06,2.0,0.0,0.0,1,18,-2,776,-2,12,3
1698072539461,65535,7060,3.92,3,1.7,2.0,0.0,0.0,1,4,-2,120,-2,12,3
1698072539466,65535,7065,0.91,2,1.86,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539470,65534,7069,0.73,3,1.59,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539486,65535,7085,0.52,2,1.55,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539490,65534,7089,0.76,3,1.5,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539506,65535,7105,0.62,2,1.44,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539521,65535,7120,0.59,2,1.67,2.0,0.0,0.0,1,11,-2,376,-2,30,3
1698072539522,1571,7121,0.82,2,1.36,0.0,52.0,15.0,1,15,-2,840,-2,3,4
1698072539526,65535,7125,0.51,2,1.47,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072539539,1571,7138,0.52,2,1.39,0.0,52.0,15.0,1,12,-2,776,-2,4,4
1698072539546,65535,7145,0.55,2,1.45,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539550,65534,7149,0.5,3,1.52,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539566,65535,7165,0.9,3,1.6,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539580,1571,7179,0.68,2,1.36,0.0,52.0,15.0,1,15,-2,840,-2,3,4
1698072539586,65535,7185,0.65,2,1.46,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539606,65535,7205,0.46,3,1.83,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072539626,65535,7225,0.98,2,1.69,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539630,65534,7229,0.31,2,1.56,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539645,1571,7244,0.52,2,1.36,0.0,52.0,15.0,1,21,-2,840,-2,2,4
1698072539646,65535,7245,0.34,2,1.56,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539650,65534,7249,0.57,2,1.52,2.0,0.0,0.0,1,3,-2,104,-2,9,2
1698072539655,1571,7254,0.63,2,1.36,0.0,52.0,15.0,1,17,-2,968,-2,3,4
1698072539660,1571,7259,0.28,2,1.41,0.0,52.0,15.0,1,18,-2,1064,-2,3,4
1698072539666,65535,7265,0.4,2,1.44,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539681,65535,7280,0.69,3,1.61,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072539686,65535,7285,0.48,3,1.45,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072539706,65535,7305,0.41,3,1.56,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539710,65534,7309,0.56,3,1.5,2.0,0.0,0.0,1,3,-2,104,-2,12,2
1698072539726,65535,7325,0.38,3,1.5,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539730,65534,7329,0.56,2,1.72,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539746,65535,7345,0.79,3,1.43,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539761,65535,7360,0.44,3,1.54,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072539766,65535,7365,0.47,2,1.44,2.0,0.0,0.0,1,6,-2,176,-2,6,3
