Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1666257033658,2,6256,2.0,0.0,0.0,1,1,-2,56,-2,3,1
1666257033662,65535,6260,2.0,0.0,0.0,1,1,-2,88,-2,2,3
1666257033667,65535,6265,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033679,31355,6277,0.0,29.0,3.0,1,5,-2,680,-2,8,6
1666257033682,31355,6280,0.0,29.0,3.0,1,5,-2,680,-2,8,6
1666257033682,65535,6280,2.0,0.0,0.0,1,1,-2,56,-2,2,3
1666257033687,65535,6285,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033688,31355,6286,0.0,29.0,3.0,1,19,-2,776,-2,2,6
1666257033690,31355,6288,0.0,29.0,3.0,1,20,-2,840,-2,2,6
1666257033691,65534,6289,2.0,0.0,0.0,1,1,-2,56,-2,3,2
1666257033692,31355,6290,0.0,29.0,3.0,1,20,-2,840,-2,2,6
1666257033694,31355,6292,0.0,29.0,3.0,1,20,-2,840,-2,2,6
1666257033696,31355,6294,6.0,29.0,3.0,1,0,-2,88,-2,4,6
1666257033707,65535,6305,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033708,2,6306,2.0,0.0,0.0,1,1,-2,56,-2,3,1
1666257033711,54519,6309,0.0,48.0,8.0,1,5,-2,144,-2,2,8
1666257033717,54519,6315,0.0,48.0,8.0,1,2,-2,520,-2,12,8
1666257033718,54519,6316,0.0,48.0,8.0,1,12,-2,176,-2,1,8
1666257033718,54519,6316,6.0,48.0,8.0,1,0,-2,88,-2,4,8
1666257033719,54519,6317,6.0,48.0,8.0,1,0,-2,208,-2,8,8
1666257033720,54519,6318,6.0,48.0,8.0,1,0,-2,424,-2,16,8
1666257033722,65535,6320,2.0,0.0,0.0,1,4,-2,120,-2,3,3
1666257033724,31355,6322,6.0,29.0,3.0,1,1,-2,176,-2,4,6
1666257033725,31355,6323,6.0,29.0,3.0,1,15,-2,1864,-2,4,6
1666257033727,65535,6325,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033728,54519,6326,0.0,48.0,8.0,1,15,-2,1128,-2,4,8
1666257033730,54519,6328,0.0,48.0,8.0,1,15,-2,1416,-2,5,8
1666257033731,65534,6329,2.0,0.0,0.0,1,4,-2,208,-2,9,2
1666257033732,31355,6330,0.0,29.0,3.0,1,28,-2,712,-2,1,6
1666257033733,54519,6331,0.0,48.0,8.0,1,14,-2,1256,-2,5,8
1666257033734,31355,6332,0.0,29.0,3.0,1,28,-2,712,-2,1,6
1666257033736,54519,6334,6.0,48.0,8.0,1,0,-2,88,-2,4,8
1666257033736,31355,6334,0.0,29.0,3.0,1,28,-2,712,-2,1,6
1666257033737,31355,6335,0.0,29.0,3.0,1,28,-2,712,-2,1,6
1666257033741,54519,6339,0.0,48.0,8.0,1,2,-2,1192,-2,27,8
1666257033742,54519,6340,0.0,48.0,8.0,1,2,-2,1192,-2,27,8
1666257033743,54519,6341,0.0,48.0,8.0,1,5,-2,1384,-2,16,8
1666257033744,54519,6342,0.0,48.0,8.0,1,14,-2,488,-2,2,8
