Time,rnti,SFN,elapsed,CFI,RBmeanllr,nb_cce,ncce,L,format,nof_bits,preamble,ta,dci_payload
1698072538083, 0, 5683, 2.28, 2 
1698072538084, 0, 5684, 1.12, 3 
1698072538085,65535,5685,1.93,3,1.79,41,0,8,2,27,0,0,100001111101000110000000000
1698072538086, 0, 5686, 3.66, 2 
1698072538087, 0, 5687, 3.29, 2 
1698072538088, 0, 5688, 2.27, 2 
1698072538089, 0, 5689, 1.00, 2 
1698072538090, 0, 5690, 0.88, 2 
1698072538091, 0, 5691, 0.91, 2 
1698072538092, 0, 5692, 0.94, 2 
1698072538093, 0, 5693, 0.69, 2 
1698072538094, 0, 5694, 0.88, 2 
1698072538096, 0, 5695, 0.71, 2 
1698072538096, 0, 5696, 0.93, 2 
1698072538097, 0, 5697, 1.09, 2 
1698072538098, 0, 5698, 0.92, 2 
1698072538099,5,5699,1.09,2,2.07,25,0,8,2,27,0,0,100001111101000001000000000
1698072538100, 0, 5700, 0.76, 2 
1698072538101, 0, 5701, 0.87, 2 
1698072538102, 0, 5702, 0.82, 2 
1698072538103, 0, 5703, 0.87, 2 
1698072538104, 0, 5704, 0.93, 3 
1698072538105,65535,5705,1.73,2,2.41,25,0,8,2,27,0,0,100000110010000110000010000
1698072538106, 0, 5706, 2.35, 2 
1698072538107, 0, 5707, 0.92, 2 
1698072538108, 0, 5708, 1.02, 2 
1698072538109, 0, 5709, 0.93, 3 
1698072538111, 0, 5710, 1.86, 2 
1698072538111, 0, 5711, 2.86, 2 
1698072538112, 0, 5712, 2.15, 2 
1698072538113, 0, 5713, 0.93, 2 
1698072538114, 0, 5714, 0.82, 2 
1698072538115, 0, 5715, 0.91, 2 
1698072538116, 0, 5716, 0.91, 2 
1698072538117, 0, 5717, 1.12, 2 
1698072538118, 0, 5718, 1.09, 2 
1698072538119, 0, 5719, 0.92, 3 
1698072538120, 0, 5720, 2.32, 3 
1698072538121, 0, 5721, 3.03, 2 
1698072538122, 0, 5722, 2.16, 1 
1698072538124, 0, 5724, 0.33, 1 
1698072538123, 0, 5723, 0.58, 3 
1698072538126, 0, 5725, 2.60, 2 
1698072538126, 0, 5726, 0.88, 2 
1698072538127, 0, 5727, 0.89, 2 
1698072538128, 0, 5728, 1.02, 3 
1698072538129, 0, 5729, 1.97, 2 
1698072538131, 0, 5731, 2.91, 1 
1698072538130, 0, 5730, 0.48, 3 
1698072538132, 0, 5732, 2.58, 1 
1698072538133, 0, 5733, 0.26, 1 
1698072538134, 0, 5734, 0.32, 2 
1698072538135, 0, 5735, 1.06, 2 
1698072538136, 0, 5736, 0.94, 3 
1698072538137, 0, 5737, 2.00, 2 
1698072538138, 0, 5738, 2.48, 3 
1698072538139, 0, 5739, 1.89, 3 
1698072538141, 0, 5741, 3.94, 2 
1698072538140, 0, 5740, 0.69, 3 
1698072538142, 0, 5742, 5.02, 1 
1698072538143, 0, 5743, 0.52, 2 
1698072538144, 0, 5744, 0.59, 2 
1698072538145, 0, 5745, 0.99, 1 
1698072538146, 0, 5746, 0.32, 3 
1698072538147, 0, 5747, 1.87, 2 
1698072538148, 0, 5748, 2.56, 3 
1698072538149, 0, 5749, 1.61, 3 
1698072538150, 0, 5750, 3.33, 3 
1698072538151, 0, 5751, 3.57, 2 
1698072538152, 0, 5752, 2.45, 1 
1698072538154, 0, 5754, 0.25, 2 
1698072538153, 0, 5753, 0.25, 3 
1698072538155, 0, 5755, 2.80, 1 
1698072538156, 0, 5756, 0.08, 3 
1698072538157, 0, 5757, 0.82, 1 
1698072538158, 0, 5758, 0.29, 2 
1698072538159, 0, 5759, 0.66, 3 
1698072538161, 0, 5761, 1.91, 1 
